nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Practicante De Infrastructure & Cloud,Peru,2000.0,657.3,Manpower Professional Services S.A.,Peru,Ventas,Asesor Estrategico,8.7,6.1,451.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.2,2.0,7.0,1.0,11.0,0
Especialista Sharepoint,Peru,5500.0,181.0,Mdp Consulting S.A.C.,Peru,Tecnologia / Sistemas,Analista Sharepoint,12.4,14.0,1550.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,7.7,3.0,8.0,1.0,8.0,1
Desarrollador .Net,Peru,6000.0,183.0,Laboratorios Hersil S.A.C.,Peru,Sistemas,Programador Senior,8.2,7.0,1191.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,12.8,3.0,16.0,1.0,5.4,1
Programador .Net,Peru,7000.0,2412.0,Metrica Andina,Peru,Sistemas,Analista Programador,18.4,8.0,1492.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.7,2.0,9.0,1.3,5.4,0
Especialista .Net Jr.,Peru,4500.0,1030.0,Metrica Andina,Peru,Sistemas,Analista Programador,14.6,8.0,1492.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.7,2.0,9.0,1.3,5.4,0
Programador .Net,Peru,6000.0,1665.0,Fractal Soluciones Ti,Peru,Tecnologia / Sistemas,Analista Programador,31.3,10.0,1734.0,Universidad Peruana De Ciencias Aplicadas,Peru,Analisis De Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.5,2.0,28.0,2.2,8.0,0
Asistente De Pmo,Peru,2000.0,122.0,Universidad Privada Del Norte Sac,Peru,Soporte Tecnico,Asistente De Soporte De Entornos Virtuales,9.2,6.0,1227.0,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,9.0,4.0,9.0,1.0,8.0,0
Bootcamp G&S | Desarrollo E Innovacion,Peru,2500.0,176.0,Universidad Privada Del Norte Sac,Peru,Soporte Tecnico,Asistente De Soporte De Entornos Virtuales,9.3,6.0,1227.0,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,9.0,4.0,9.0,1.0,8.0,0
Analista Funcional,Peru,6000.0,2048.0,Mdp Consulting S.A.C.,Peru,Tecnologia / Sistemas,Senior Quality Assurance Engineer Lead,15.9,4.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,7.0,1.0,1.0,0
Lider Tecnico,Peru,5000.0,1461.0,Productos Avon,Peru,Analisis Funcional,"It Business Analyst (Peru,Colombia &Amp; Ecuador)",9.5,5.0,1614.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.4,1.0,9.4,1.0,6.0,0
