nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Especialista En Office 365,Peru,2500.0,1033.0,Abril Grupo Inmobiliario,Peru,Sistemas,Asistente De Sistemas,3.7,7.0,31.0,Udemy,Peru,Ing. En Sistemas,Diseno De Base De Datos Relacionales,Graduado,Otro,5.4,4.0,3.0,1.0,1.0,0
Pre-Venta - Cloud Computing,Peru,3000.0,1033.0,Abril Grupo Inmobiliario,Peru,Sistemas,Asistente De Sistemas,3.7,7.0,31.0,Udemy,Peru,Ing. En Sistemas,Diseno De Base De Datos Relacionales,Graduado,Otro,5.4,4.0,3.0,1.0,1.0,0
Asistente De Pmo,Peru,1700.0,183.0,Terminales Del Peru: Tyd Grana Y Montero Petrolera,Peru,Comercial,Practicante Profesional,5.2,8.0,1226.0,Udemy,Peru,Otra,Master En Sql Server,Graduado,Otro,7.2,13.0,5.0,2.0,4.0,0
Jefe De Proyecto - Modern Workplace,Peru,10000.0,261.0,Tecsur S.A.,Peru,Tecnologia / Sistemas,Jefe De Sistemas,19.7,5.0,31.0,Udemy,Peru,Ing. En Sistemas,Implementador De Power Bi,Graduado,Otro,8.0,8.0,18.0,1.0,4.0,0
Jefe De Proyecto - Analytics & Ai,Peru,8000.0,684.0,Informatica Delta Sac,Peru,Infraestructura,Analista Senior,4.3,7.0,31.0,Udemy,Peru,Estadistica,Entrenamiento Completo En Data Sciense,Graduado,Posgrado,5.3,4.0,4.0,2.2,11.0,0
Analista De Ciberseguridad,Peru,2900.0,278.0,Gsperu S.A.C,Peru,Tecnologia / Sistemas,Jefe Del Area De Sistemas,14.6,7.0,29.0,Udemy,Peru,Ing. Informatica,Cyber Security Incident Response,Graduado,Terciario/Tecnico,9.6,11.0,23.0,1.0,18.0,0
Jefe De Proyecto - Analytics & Ai,Peru,5000.0,607.0,Rc &Amp; Rc Ingenieria Y Construccion S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Ingeniero De Proyectos,9.6,6.0,30.0,Udemy,Peru,Adm. De Empresas,Analisis De Informacion Con Tableu,Graduado,Otro,11.0,13.0,7.0,2.0,10.0,0
Cloud Specialist,Peru,1500.0,327.0,Usil,Peru,Seguridad Informatica,Practicante Seguridad Ti,2.2,4.0,341.0,Udemy,Peru,Tecnologias De La Informacion,Universidad Hacking,En Curso,Otro,10.8,11.0,7.0,2.2,15.0,0
Consultor(A) Infrastructure & Cloud Services,Peru,6000.0,1045.0,Global Hitss Peru S.A.C.,Peru,Tecnologias De La Informacion,Especialista De Infraestructura Ti,10.9,6.0,31.0,Udemy,Peru,Tecnologias De La Informacion,Oracle Weblogic Administrator,Graduado,Posgrado,9.0,13.0,4.0,1.0,3.0,0
Practicante De Infrastructure & Cloud,Peru,9.0,1795.0,Tracklog,Peru,Logistica,Responsable Analitico,4.9,1.0,1226.0,Udemy,Peru,Ing. En Sistemas,Desarrollador Cobol,Graduado,Otro,5.1,3.0,7.0,1.0,6.0,0
Administrador De Soporte Tecnico,Peru,1500.0,39.0,Sociedad De Produccion Tierra Y Agua S.A.C. (Ubicado En San Luis).,Peru,Tecnologia / Sistemas,Asistente De Ti,7.4,20.0,61.0,Udemy,Peru,Computacion / Informatica,"Desarrollo Web Con Html5, Css3, Php Y Mysql",Graduado,Otro,9.5,13.0,2.0,1.0,5.4,0
Desarrollador Full Stack,Peru,5500.0,87.0,Tgestiona Sac,Peru,Sistemas,Analista Programador,9.4,11.0,31.0,Udemy,Peru,Tecnologias De La Informacion,"Aplicacion Web En Angular(6,7+) Con Servicios Rest",Graduado,Terciario/Tecnico,7.3,6.0,15.0,1.0,3.0,0
Disenador Ux,Peru,3500.0,212.0,Asociacion Civil Con Proposito - Mab,Peru,Infraestructura,Disenador Ux/Ui - Maquetador Web,9.4,12.0,10.0,Udemy,Peru,Diseno Web,React De Cero A Experto,En Curso,Terciario/Tecnico,10.8,13.0,11.0,1.0,6.0,0
Arquitecto De Software,Peru,1.0,96.0,La Positiva Seguros,Peru,Tecnologias De La Informacion,Especialista En Integraciones (Midleware),9.0,12.0,92.0,Udemy,Peru,Computacion / Informatica,Dart Con Flutter / Node Js / Unity,Graduado,Terciario/Tecnico,9.7,7.0,11.0,1.0,11.0,0
Analista De Calidad,Peru,1500.0,394.0,Upex,Peru,Testing / Qa / Qc,Automatizacion Web (Cucumber|Java|Maven|Selenium),5.0,6.0,92.0,Udemy,Peru,Tecnologias De La Informacion,Object Oriented Design In Java,Graduado,Otro,9.3,8.0,9.4,1.0,18.0,0
Ejecutivo Comercial,Peru,3500.0,1132.0,Jial Del Peru,Peru,Desarrollo De Negocios,Asistente Administrativo,8.9,9.0,153.0,Cuerpo General De Bomberos Voluntarios Del Peru,Peru,Otra,Bombero Voluntario,Graduado,Otro,7.1,3.0,9.4,1.0,6.0,0
Analista Funcional,Peru,4301.8,1982.0,Universidad San Martin De Porres,Peru,Analisis De Datos,Analista De Sistemas,5.4,1.0,1080.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Posgrado,3.0,1.0,9.4,1.0,1.0,0
Especialista Cloud,Peru,9000.0,206.0,Banco Interbank,Peru,Tecnologias De La Informacion,Cloud Platform Specialist,9.4,8.0,2101.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,14.0,1.0,7.0,0
Arquitecto Aws,Peru,10000.0,302.0,Banco Interbank,Peru,Tecnologias De La Informacion,Cloud Platform Specialist,9.6,8.0,2101.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,14.0,1.0,7.0,0
Analista Funcional,Peru,3500.0,117.0,Adecco Consulting S.A.,Peru,Ingenieria De Procesos,Analista De Calidad,5.9,4.0,1795.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,8.0,1.0,10.0,0
Practicante De Infrastructure & Cloud,Peru,4301.8,31.0,Clinica Provida,Peru,Tecnologias De La Informacion,Practicante En Area De Ti,0.1,1.0,1675.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.6,1.0,9.4,1.3,4.0,0
Desarrollador Java,Peru,930.0,122.0,Aresm2M,Peru,Sistemas,Practicante De Sistemas,2.5,2.0,2072.0,Universidad Privada San Juan Bautista,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.7,1.0,3.0,1.0,5.0,0
Analista De Calidad,Peru,6000.0,208.0,Mdp Consulting S.A.C.,Peru,Tecnologia / Sistemas,Analista De Calidad,7.4,5.0,2099.0,Universidad Privada Sergio Bernales,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,4.0,2.0,18.0,0
Analista Programador - Xamarin,Peru,4301.8,657.3,Universidad Privada Del Norte Sac,Peru,Tecnologias De La Informacion,Pre Docente De Faci Y Eeggcc,8.7,6.1,3075.0,Universidad Peruana Los Andes - Upla,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,8.4,1.0,1.0,1.0,5.4,0
Analista Programador .Net,Peru,1500.0,335.0,Wankatix,Peru,Sistemas,Auxiliar De Desarrollo De Sistemas,1.9,3.0,2435.0,Universidad Peruana Los Andes - Upla,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.7,1.0,3.0,1.0,3.0,0
Programador .Net,Peru,1600.0,2101.0,Municipalidad Distrital De Yanacancha,Peru,Sistemas,Administrador De Las Tecnologias De La Informacion,5.8,1.0,2101.0,Universidad Nacional Daniel Alcides Carrion,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,1.0,1.3,1.0,0
Desarrollador Sap,Peru,1600.0,2101.0,Municipalidad Distrital De Yanacancha,Peru,Sistemas,Administrador De Las Tecnologias De La Informacion,5.8,1.0,2101.0,Universidad Nacional Daniel Alcides Carrion,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,1.0,1.3,1.0,0
Analista De Sistemas,Peru,2500.0,363.0,Technology Experts,Peru,Infraestructura,Administrador De Servidores,8.2,3.0,2467.0,Universidad Las Americas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.8,1.0,9.4,1.3,5.4,0
Asistente De Pmo,Peru,1800.0,657.3,Itg Solutions S.A.C,Peru,Tecnologia / Sistemas,Administrador De Tecnologia,8.7,6.1,2467.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,6.8,1.0,6.0,1.0,1.0,0
Programador .Net,Peru,5300.0,1096.0,Alfin Banco,Peru,Tecnologias De La Informacion,Desarrollador .Net,5.2,2.0,2071.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Bachiller,Bachiller En Sistemas Y Computacion,Graduado,Universitario,5.7,1.0,3.0,1.0,2.0,0
Analista Programador,Peru,1000.0,397.0,Senati,Peru,Sistemas,Instructor De Tecnologias De Informacion.,4.7,9.0,2678.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. Informatica,Titulo Universitario,Graduado,Universitario,7.3,1.0,17.0,1.0,1.0,0
Scrum Master,Peru,3000.0,489.0,Jefron Y Compania Peru Sac,Peru,Logistica,Personal De Logistica,1.8,2.0,185.0,Universidad Catolica Santo Toribio De Mogrovejo,Peru,Ing. En Sistemas,Gestion/ Administracion De Ti,En Curso,Master,9.3,4.0,6.0,2.0,2.0,1
Asistente Social,Peru,1000.0,366.0,Empresa Holgus,Peru,Administracion,Asistente Administrativo,1.5,4.0,304.0,Instituto Nacional De Estadistica E Informatica,Peru,Computacion / Informatica,Curso De Especializacion En Herramientas Ofimatica,Graduado,Otro,5.6,2.0,9.4,2.0,3.0,0
Practicante Desarrollador .Net / Sharepoint,Peru,1200.0,92.0,Mcg,Peru,Analisis Funcional,Programador,1.0,3.0,1430.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Universidad Tecnologica Del Peru,En Curso,Universitario,13.0,3.0,11.0,1.0,2.0,0
Analista De Sistemas,Peru,1200.0,92.0,Maxima Internacional,Peru,Sistemas,Programadora,1.2,4.0,1430.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Universidad Tecnologica Del Peru,En Curso,Universitario,13.0,3.0,11.0,1.0,2.0,0
Especialista Dynamics 365,Peru,1200.0,92.0,Maxima Internacional,Peru,Sistemas,Programadora,1.2,4.0,1430.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Universidad Tecnologica Del Peru,En Curso,Universitario,13.0,3.0,11.0,1.0,2.0,0
Analista Programador .Net,Peru,2800.0,762.0,S.G Natclar,Peru,Tecnologia / Sistemas,Analista Programador,3.6,4.0,704.0,Universidad Tecnologica Del Peru,Peru,Tecnologias De La Informacion,Ingenieria De Seguridad Y Auditoria Informatica,En Curso,Universitario,4.8,2.0,9.0,1.0,5.4,0
Programador Oracle,Peru,8000.0,224.0,Blue Tab S.A.C.,Peru,Tecnologias De La Informacion,Data Engineer,5.9,8.0,1645.0,Universidad Tecnologica Del Peru,Peru,Ing. Informatica,Profesional Ingenieria De Sistemas,Graduado,Otro,4.5,1.0,15.0,1.0,10.0,0
Analista De Sistemas,Peru,5400.0,153.0,Cencosud Retail S.A.,Peru,Tecnologias De La Informacion,Lider De Proyectos,8.0,11.0,606.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Mba,En Curso,Master,7.8,7.0,7.0,1.0,3.0,0
Analista De Soluciones Ti,Peru,5400.0,153.0,Cencosud Retail S.A.,Peru,Tecnologias De La Informacion,Lider De Proyectos,8.0,11.0,606.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Mba,En Curso,Master,7.8,7.0,7.0,1.0,3.0,0
Analista Funcional,Peru,6500.0,153.0,Minedu,Peru,Analisis Funcional,Consultor Funcional,9.3,14.0,882.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Mba,Graduado,Master,8.6,7.0,7.0,1.0,7.0,0
Analista Funcional,Peru,6500.0,153.0,Minedu,Peru,Analisis Funcional,Consultor Funcional,9.3,14.0,882.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Mba,Graduado,Master,8.6,7.0,7.0,1.0,7.0,0
Analista Funcional,Peru,5600.0,92.0,Universidad Privada San Juan Bautista,Peru,Liderazgo De Proyecto,Jefe De Proyectos,15.9,7.0,731.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Mba,Graduado,Posgrado,8.7,7.0,8.0,2.0,10.0,0
Jefe De Proyecto - Modern Workplace,Peru,14600.0,351.0,Sistemas Analiticos,Peru,Tecnologias De La Informacion,Gerente De Proyectos,28.4,13.0,578.0,Universite Du Quebec A Montreal,Canada,Adm. De Empresas,Mba,Graduado,Master,16.1,8.0,35.0,1.0,7.0,0
Jefe De Proyecto - Analytics & Ai,Peru,12000.0,493.0,Sistemas Analiticos,Peru,Tecnologias De La Informacion,Gerente De Proyectos,29.2,13.0,578.0,Universite Du Quebec A Montreal,Canada,Adm. De Empresas,Mba,Graduado,Master,16.1,8.0,35.0,1.0,7.0,0
Ejecutivo Comercial,Peru,12000.0,348.0,Excelia Peru Sac,Peru,Analisis Funcional,Consultor De Negocios Y Tecnologia,31.4,14.0,578.0,Universite Du Quebec A Montreal,Canada,Adm. De Empresas,Mba,Graduado,Master,16.1,8.0,35.0,1.0,7.0,0
Ejecutivo Comercial,Peru,12000.0,321.0,Excelia Peru Sac,Peru,Analisis Funcional,Consultor De Negocios Y Tecnologia,31.1,14.0,578.0,Universite Du Quebec A Montreal,Canada,Adm. De Empresas,Mba,Graduado,Master,16.1,8.0,35.0,1.0,7.0,0
Ejecutivo Comercial,Peru,1800.0,1408.0,Esiatec Ventas Y Servicios,Peru,Administracion,Ejecutivo De Ventas,5.0,2.0,1620.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Administracion Banca Y Finanzas,En Curso,Universitario,4.4,1.0,9.4,1.0,5.4,0
Asistente De Procesos,Peru,2500.0,1189.0,Servicio De Administracion Tributaria - Sat,Peru,Asistente,Tecnico Atencion De Deposito,6.0,2.0,1371.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Administracion Banca Y Finanzas,Graduado,Universitario,6.6,2.0,3.0,1.0,5.4,0
Ejecutivo Comercial,Peru,2000.0,427.0,Certus,Peru,Comercial,Asesor Comercial,5.4,6.0,396.0,Universidad Tecnologica Del Peru,Peru,Marketing / Comercializacion,Administracion De Negocios,En Curso,Universitario,6.4,2.0,1.0,2.0,5.4,0
Jefe De Proyecto - Analytics & Ai,Peru,7000.0,910.0,Telefonica Del Peru,Peru,Tecnologias De La Informacion,Project Manager,10.2,5.0,184.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Programa De Especializacion Gestion De Proyectos,Graduado,Posgrado,5.3,3.0,8.0,1.0,4.0,0
Practicante De Infrastructure & Cloud,Peru,1400.0,657.3,Idigital,Peru,Business Intelligence,Cajero,8.7,6.1,2952.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Egresado Ingenieria De Sistemas,Graduado,Universitario,8.1,1.0,4.0,2.0,7.0,0
Analista Funcional,Peru,3000.0,612.0,Ebiz Latin America Sac.,Peru,Liderazgo De Proyecto,Gestor De Proyectos,13.5,6.0,9.0,Universidad Tecnologica Del Peru,Peru,Tecnologias De La Informacion,Master Project Management,En Curso,Master,5.4,5.0,4.0,1.0,4.0,0
Analista De Calidad,Peru,1800.0,1127.0,Scotiabank Peru S.A.A.,Peru,Auditoria,Asistente De Vicepresidencia,8.3,5.0,2240.0,Universidad Tecnologica Del Peru,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Posgrado,6.1,1.0,4.0,1.0,5.4,0
Ejecutivo Comercial,Peru,1000.0,183.0,Universidad Continental,Peru,Comercial,Ejecutivo Comercial,3.8,5.0,508.0,Universidad Privada San Juan Bautista,Peru,Marketing / Comercializacion,Administracion De Negocios,En Curso,Universitario,1.4,1.0,1.0,1.0,2.0,0
Ejecutivo Comercial,Peru,1500.0,1035.0,Appsitec Sac,Peru,Ventas,Ejecutivo Comercial,6.7,6.0,1329.0,Universidad Privada San Juan Bautista,Peru,Marketing / Comercializacion,Administracion De Negocios,En Curso,Universitario,3.6,1.0,1.0,1.0,2.0,0
Ejecutivo Comercial,Peru,1000.0,150.0,Editorial Pilares,Peru,Comercial,Ejecutivo De Ventas,4.2,6.0,676.0,Universidad Privada San Juan Bautista,Peru,Marketing / Comercializacion,Administracion De Negocios,En Curso,Universitario,1.9,1.0,1.0,1.0,2.0,0
Ejecutivo Comercial,Peru,1200.0,243.0,Clinica Padre Luis Tezza,Peru,Operaciones,Ejecutivo De Admision,2.9,2.0,792.0,Universidad Privada San Juan Bautista,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Universitario,2.2,1.0,3.0,1.0,6.0,0
Analista De Calidad,Peru,2000.0,2620.0,Banco De Credito Del Peru - Bcp,Peru,Comercial,Asesora De Ventas Y Servicios,11.2,1.0,2526.0,Universidad Privada San Juan Bautista,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,9.8,2.0,9.4,2.0,5.4,0
Practicante De Recursos Humanos,Peru,1200.0,242.0,Full Fitness Sac,Peru,Administracion,Asistente De Administracion,5.2,8.0,1827.0,Universidad Privada San Juan Bautista,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,15.5,3.0,9.0,2.0,2.0,0
Ejecutivo Comercial,Peru,1500.0,700.0,Appsitec Sac,Peru,Comercial,Coordinador Comercial,6.7,7.0,1647.0,Universidad Privada San Juan Bautista,Peru,Marketing / Comercializacion,Administracion De Negocios,En Curso,Universitario,4.5,1.0,1.0,1.0,2.0,0
Practicante De Recursos Humanos,Peru,1300.0,396.0,Red Salud Ocupacional S.A.C,Peru,Administracion,Asistente Administrativo,1.1,1.0,1795.0,Universidad Privada San Juan Bautista,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,4.9,1.0,3.0,1.0,5.4,0
Bootcamp G&S | Infrastructure & Cloud,Peru,4301.8,1035.0,Sedapal,Peru,Infraestructura,Analista Service Desk,10.6,5.0,3636.0,Universidad Privada San Juan Bautista,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Universitario,12.6,2.0,21.0,1.0,3.0,0
Ejecutivo Comercial,Peru,3500.0,813.0,Tuv Rheinland Peru S.A.C.,Peru,Comercial,Ejecutivo Comercial,8.0,4.0,730.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,2.0,1.0,1.0,1.0,2.0,0
Practicante De Recursos Humanos,Peru,1300.0,1462.0,Mibanco,Peru,Atencion Al Cliente,Representante De Banca,6.0,3.0,1432.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,3.9,1.0,1.0,1.0,2.0,0
Ejecutivo Comercial,Peru,2500.0,313.0,F&Amp;E Corporation Sac,Peru,Comercial,Gerente De Cuentas Corporativas,8.4,5.0,1764.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,4.8,1.0,9.4,2.0,2.0,0
Practicante De Recursos Humanos,Peru,930.0,439.0,Prosegur Tecnologia S.A.,Peru,Administracion,Practicante De Calidad,1.6,2.0,1432.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,3.9,1.0,3.0,1.3,5.4,0
Ejecutivo Comercial,Peru,1300.0,700.0,Cerro Lindo,Peru,Instrumentacion Minera,Seleccion De Personal,1.9,1.0,1980.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,5.4,1.0,1.0,1.0,5.4,0
Ejecutivo Comercial,Peru,1500.0,1522.0,Ecm Operadores Logistico,Peru,Ventas,Asesor Y Supervisor De Servicios,9.8,5.0,1668.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Terciario/Tecnico,15.4,4.0,1.0,1.0,1.0,0
Ejecutivo Comercial,Peru,1400.0,2103.0,Kobsa,Peru,Call Center,Gestor Call Center,12.4,14.0,1425.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Secundario,3.9,1.0,1.0,1.0,1.0,0
Practicante De Recursos Humanos,Peru,1200.0,850.0,Grana Y Montero,Peru,Administracion De Personal,Auxiliar Administrativo,2.4,2.0,693.0,Instituto San Ignacio De Loyola,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,1.9,1.0,1.0,1.0,2.0,0
Ejecutivo Comercial,Peru,3000.0,448.0,Sierra Exportadora,Peru,Negocios Internacionales,Gestor De Exportaciones Y Comercial,11.9,6.0,873.0,Pontificia Universidad Catolica Del Peru,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Master,7.1,2.0,2.0,1.0,1.0,0
Asistente De Recursos Humanos,Peru,3500.0,676.0,Caja Incasur,Peru,Administracion De Personal,Asistente De Recursos Humanos,6.5,5.0,1948.0,Universidad Catolica San Pablo,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,5.3,1.0,9.4,2.0,5.4,0
Ejecutivo Comercial,Peru,1500.0,61.0,Utel,Peru,Telemarketing,Ejecutivo Comercial,9.3,11.0,301.0,Utel,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Universitario,1.3,4.0,1.0,1.0,5.4,0
Practicante De Recursos Humanos,Peru,900.0,657.3,Gilat Networks Peru S.A.,Estados Unidos,Mineria/Petroleo/Gas,Psicologa,8.7,6.1,464.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,En Curso,Terciario/Tecnico,1.3,1.0,1.0,1.3,2.0,0
Asistente Social,Peru,1600.0,884.0,Mrd Sac,Peru,Logistica,Administrador,5.3,4.0,1614.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Terciario/Tecnico,4.4,1.0,1.0,1.0,5.0,0
Practicante De Recursos Humanos,Peru,1200.0,851.0,Semcocad,Peru,Educacion/Docencia,Asistente Academica,3.6,2.0,1765.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Abogacia / Derecho / Leyes,Administracion De Negocios,Graduado,Terciario/Tecnico,4.8,1.0,9.4,1.0,5.4,0
Practicante De Procesos,Peru,1000.0,245.0,World Servicios Industriales,Peru,Administracion,Asistente Y Apoyo Administrativo,1.3,3.0,1767.0,Instituto Peruano De Accion Empresarial - Ipae,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,4.8,1.0,4.0,2.0,2.0,0
Asistente De Recursos Humanos,Peru,1200.0,456.0,Financiera Crediscotia,Peru,Atencion Al Cliente,Asistente De Operaciones,5.7,8.0,2101.0,Profesional,Peru,Adm. De Empresas,Administracion De Negocios,Graduado,Universitario,5.8,1.0,1.0,1.0,4.0,0
Jefe De Proyecto - Analytics & Ai,Peru,10.0,2375.0,Ministerio De Salud,Peru,Soporte Tecnico,Jefe De Informatica,6.5,1.0,945.0,Universidad Particular De Chiclayo,Peru,Otra,Administracion De Negocios,Graduado,Master,7.8,2.0,9.4,1.0,5.4,0
Practicante De Infrastructure & Cloud,Peru,1100.0,122.0,Rebel Motors,Peru,Administracion De Base De Datos,Analista De Datos,0.5,2.0,1879.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.1,1.0,6.0,1.0,5.0,0
Especialista En Office 365,Peru,4000.0,638.0,Ops Tecnologia Y Comunicaciones S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Gestor De Proyectos,7.9,7.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,11.0,1.0,4.0,0
Especialista En Analitica,Peru,3000.0,638.0,Ops Tecnologia Y Comunicaciones S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Gestor De Proyectos,7.9,7.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,11.0,1.0,4.0,0
Analista De Sistemas,Peru,4301.8,638.0,Ops Tecnologia Y Comunicaciones S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Gestor De Proyectos,7.9,7.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,11.0,1.0,4.0,0
Analista De Soluciones Ti,Peru,4301.8,638.0,Ops Tecnologia Y Comunicaciones S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Gestor De Proyectos,7.9,7.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,11.0,1.0,4.0,0
Gestor De Servicios De Ti,Peru,4301.8,638.0,Ops Tecnologia Y Comunicaciones S.A.C.,Peru,Ingenieria Oficina Tecnica / Proyecto,Gestor De Proyectos,7.9,7.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,11.0,1.0,4.0,0
Analista De Sistemas,Peru,3500.0,92.0,Universidad Pacifico,Peru,Sistemas,Analistas De Sistemas,8.2,8.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.9,1.0,12.0,1.0,4.0,0
Especialista Devops,Peru,10000.0,1294.0,Canvia S.A.C.,Peru,Sistemas,Consultor De Sistemas,12.3,9.0,5738.0,Pontificia Universidad Catolica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,15.7,1.0,9.4,1.0,18.0,0
Lider Tecnico,Peru,5000.0,1481.0,"Proyecto Sgs, Outsourcing Infoparque",Peru,Liderazgo De Proyecto,Analista Programador,32.0,14.0,5743.0,Universidad Alas Peruanas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,15.7,1.0,9.0,1.0,6.0,0
Analista Funcional,Peru,4000.0,2620.0,Estacion De Servicios Daniela S.A.,Peru,Tecnologia / Sistemas,Analista De Sistemas,10.9,4.0,4870.0,Universidad Alas Peruanas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Graduado,Universitario,13.3,1.0,6.0,1.0,5.4,0
Asistente De Procesos,Peru,3000.0,59.0,Senati,Peru,Educacion/Docencia,Instructor,10.3,9.0,184.0,Universidad Tecnologica Del Peru,Peru,Ing. - Otros,Ing. Automotriz,En Curso,Universitario,16.4,11.0,16.0,2.2,5.0,0
