lastWorkName,equivalence,count,equals
Analista De Calidad Ii,Analista De Calidad,1,FALSE
Analista De Calidad Qa,Analista De Calidad,2,FALSE
Analista De Calidad Semisenior,Analista De Calidad,2,FALSE
Analista De Calidad Senior,Analista De Calidad,3,FALSE
Analista De Calidad Ssr,Analista De Calidad,1,FALSE
Analista De Calidad Temporal,Analista De Calidad,1,FALSE
Analista De Calidad(Cliente: Mi Banco),Analista De Calidad,1,FALSE
Analista De Calidad-Tester,Analista De Calidad,1,FALSE
Analista De Canales Digitales,Analista De Canales Digitales,1,TRUE
Analista De Capacitacion - Proyecto Fenix,Analista De Capacitacion - Proyecto Fenix,1,TRUE
Analista De Capital Humano - Business Partner,Analista De Capital Humano - Business Partner,1,TRUE
Analista De Cdo(Control De Operaciones),Analista De Cdo(Control De Operaciones),1,TRUE
Analista De Certificaciones,Analista De Certificaciones,1,TRUE
Analista De Ciberseguridad,Analista De Ciberseguridad,1,TRUE
Analista De Cobranzas,Analista De Cobranzas,1,TRUE
Analista De Comisiones,Analista De Comisiones,1,TRUE
Analista De Comisiones Y Liquidaciones,Analista De Comisiones Y Liquidaciones,1,TRUE
Analista De Compensaciones,Analista De Compensaciones,1,TRUE
Analista De Compras Internacionales,Analista De Compras Internacionales,1,TRUE
Analista De Comunicacion Estrategica,Analista De Comunicacion Estrategica,1,TRUE
Analista De Comunicaciones,Analista De Comunicaciones,1,TRUE
Analista De Conectividad,Analista De Conectividad,1,TRUE
Analista De Contabilidad,Analista De Contabilidad,1,TRUE
Analista De Continuidad Operativa,Analista De Continuidad Operativa,3,TRUE
Analista De Control De Activos,Analista De Control De Activos,1,TRUE
Analista De Control De Calidad,Analista De Calidad,2,FALSE
Analista De Control De Calidad De Software,Analista De Calidad,1,FALSE
Analista De Control De Operaciones,Analista De Control De Operaciones,1,TRUE
Analista De Control Interno,Analista De Control Interno,1,TRUE
Analista De Control Y Costos (Temporal),Analista De Control Y Costos (Temporal),1,TRUE
Analista De Control Y Gestion De La Informacion,Analista De Control Y Gestion De La Informacion,1,TRUE
Analista De Control Y Soporte De Informacion,Analista De Control Y Soporte De Informacion,1,TRUE
Analista De Costes- Encargado De Produccion,Analista De Costes- Encargado De Produccion,1,TRUE
Analista De Cotizaciones,Analista De Cotizaciones,1,TRUE
Analista De Creditos,Analista De Creditos,8,TRUE
Analista De Data (Trabajo Temporal 2 Meses),Analista De Datos,1,FALSE
Analista De Data Intelligence,Analista De Datos,1,FALSE
Analista De Datos,Analista De Datos,12,TRUE
