institucionUltimoEstudio,equivalencia,cantidad,igual
Colegio De Ingenieros Del Peru,Colegio De Ingenieros Del Peru,17,TRUE
Colegio De Ingenieros Del Peru - Consejo Departamental De Lima,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Ingenieros Del Peru-Cdl Ip,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Ingenieros Del Peu,Colegio De Ingenieros Del Peru,3,FALSE
Colegio De Ingenierosdel Peru,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Licenciados En Administracion-Corlad,Colegio De Licenciados En Administracion-Corlad,1,TRUE
Colegio De Periodistas De Lima,Colegio De Periodistas De Lima,1,TRUE
Colegio De Trabajadores Sociales Del Peru,Colegio De Trabajadores Sociales Del Peru,1,TRUE
Columbia,Columbia - Escuela Hotelera Y Alta Cocina,1,FALSE
Columbia - Escuela Hotelera Y Alta Cocina,Columbia - Escuela Hotelera Y Alta Cocina,1,TRUE
Columbia University,Columbia University,1,TRUE
Compueducacion,Compueducacion,1,TRUE
Computronic,Computronic,8,TRUE
Comunidad Andina,Comunidad Andina,1,TRUE
Comunidad De La Univ. Continental Pmi.,Comunidad De La Univ. Continental Pmi.,1,TRUE
Comunidad Independiente,Comunidad Independiente,1,TRUE
Concordia University (Montreral-Canada)),Concordia University (Montreral-Canada)),1,TRUE
Conmebol,Conmebol,1,TRUE
Consulting Group - Proaptivo,Consulting Group - Proaptivo,1,TRUE
Contacta Gestores,Contacta Gestores,1,TRUE
Contadores Del Peru,Contadores Del Peru,1,TRUE
Contexto Dbt,Contexto Dbt,1,TRUE
Copc Inc. Certification,Copc Inc. Certification,1,TRUE
Core Consultores,Core Consultores,1,TRUE
Corporacion Fonafe,Corporacion Fonafe,1,TRUE
Corporacion Sapia,Corporacion Sapia,2,TRUE
Corriente Alterna - Escuela Superior De Bellas Artes,Corriente Alterna - Escuela Superior De Bellas Artes,3,TRUE
Cosapi Data,Cosapi Data,4,TRUE
Coursea: Pontifica Universidad Catolica De Chile,Coursera,1,FALSE
Coursera,Coursera,4,TRUE
Coursera-Amazon,Coursera,4,FALSE
Crehana,Crehana,9,TRUE
Crehana - Utec,Crehana,1,FALSE
Creser Latinoamerica,Creser Latinoamerica,1,TRUE
Ct Brasil,Ct Brasil,1,TRUE
Ctic - Uni,Ctic Uni,5,FALSE
Ctic Uni,Ctic Uni,2,TRUE
Ctic-Uni,Ctic Uni,1,FALSE
Cuartel De Ventas,Cuartel De Ventas,1,TRUE
Cuerpo General De Bomberos Voluntarios Del Peru,Cuerpo General De Bomberos Voluntarios Del Peru,1,TRUE
Curso Por Empresa Viajes Pacificos Sac,Curso Por Empresa Viajes Pacificos Sac,1,TRUE
Curso Por Internet,Curso Por Internet,1,TRUE
Cursos Contables Peru,Cursos Contables Peru,1,TRUE
Cursos Udemy,Udemy,4,FALSE
Data Consulting Sac,Data Consulting Sac,4,TRUE
Data Mining Consulting,Dmc - Data Mining Consulting,9,FALSE
Data Mining Consulting Peru,Dmc - Data Mining Consulting,1,FALSE
Datacamp,Datacamp,2,TRUE
Datux,Datux,3,TRUE
Db Learner,Db Learner,1,TRUE
Deeplearning.Ai,Deeplearning.Ai,2,TRUE
Desarrollo Global,Desarrollo Global,1,TRUE
Devops Institute,Devops Institute,1,TRUE
Dharma Consulting,Dharma Consulting,9,TRUE
Dharma Consulting.,Dharma Consulting,4,FALSE
Diez Talentos,Diez Talentos,1,TRUE
Digital Brand Peru,Digital Brand Peru,1,TRUE
Diplomados Rebagliati,Diplomados Rebagliati,2,TRUE
Director Global,Director Global,1,TRUE
Discovey Fast,Discovey Fast,4,TRUE
Disenador Web / Grafico,Disenador Web / Grafico,1,TRUE
Dmc,Dmc - Data Mining Consulting,6,FALSE
Dmc - Data Mining Consulting,Dmc - Data Mining Consulting,2,TRUE
Dmc Consulting,Dmc - Data Mining Consulting,2,FALSE
Dmc Peru,Dmc - Data Mining Consulting,3,FALSE
Domestika,Domestika,1,TRUE
Dragonjar,Dragonjar,1,TRUE
Eada,Eada Business School,1,FALSE
Eada - Barcelona,Eada Business School,1,FALSE
Eada - Business School Barcelona,Eada Business School,1,FALSE
Eada Business School,Eada Business School,5,TRUE
Eada Business School Barcelona,Eada Business School,7,FALSE
Eada Business School-Barcelona,Eada Business School,1,FALSE
Eae Business School,Eada Business School,8,FALSE
Eae Business School - Universidad Rey Juan Carlos,Eada Business School,1,FALSE
Ealde,Ealde Business School,1,FALSE
Ealde Business School,Ealde Business School,2,TRUE
Ebd,Ebd,2,TRUE
Ec Dublin School,Ec Dublin School,1,TRUE
Eco Consultores,Eco Consultores,1,TRUE
Ed Team,Ed Team,1,TRUE
Eddis,Eddis,1,TRUE
Educacionit,Educacionit,1,TRUE
Educorp,Educorp,1,TRUE
Edutin Academy,Edutin Academy,1,TRUE
Edutronic,Edutronic Global Service,2,FALSE
Edutronic Global Service,Edutronic Global Service,1,TRUE
Ehsq Group,Ehsq Group,1,TRUE
Elearning &Amp; Certificaciones Itc,Elearning &Amp; Certificaciones Itc,2,TRUE
Electrotec,Electrotec,2,TRUE
Emprendedores Usil,Emprendedores Usil,1,TRUE
Enace,Enace,1,TRUE
Enad - Escuela Nacional De Direccion Y Gerencia,Enad - Escuela Nacional De Direccion Y Gerencia,1,TRUE
Enamm (Escuela Nacional De La Mariana Mercante,Enamm (Escuela Nacional De La Mariana Mercante,1,TRUE
Encape,Encape,1,TRUE
Eneb,Eneb,1,TRUE
Enei,Enei,1,TRUE
Energy Control Systems,Energy Control Systems,2,TRUE
Enforsa,Enforsa,1,TRUE
Engine Tech,Engine Tech,1,TRUE
Enterprice Group,Enterprice Group,3,TRUE
Entrenamiento Certero,Entrenamiento Certero Institute,2,FALSE
Entrenamiento Certero Institute,Entrenamiento Certero Institute,1,TRUE
Eobs - Universidad Rey Juan Carlos De Espana,Eobs - Universidad Rey Juan Carlos De Espana,2,TRUE
Eoi - Escuela De Negocios - Espana,Eoi - Escuela De Negocios - Espana,1,TRUE
Eoi | Escuela De Organizacion Industrial,Eoi | Escuela De Organizacion Industrial,1,TRUE
Ep Neumann: Escuela De Postgrado,Ep Neumann: Escuela De Postgrado,1,TRUE
Epe - Upc (Universidad De Ciencias Aplicadas),Epe - Upc (Universidad De Ciencias Aplicadas),1,TRUE
Equilibrium Financiero,Equilibrium Financiero,1,TRUE
Ericsson,Ericsson,1,TRUE
Esan,Universidad Esan,45,FALSE
Esan / Carlos Iii Espana,Universidad Esan,1,FALSE
Esan Graduate School Of Business,Universidad Esan,2,FALSE
Esan-La Salle Universidad Ramon Llull,Universidad Esan,1,FALSE
Escola Politecnica Da Universidade De Sao Paulo,Escola Politecnica Da Universidade De Sao Paulo,1,TRUE
Escuela America De Innovacion,Escuela America De Innovacion,1,TRUE
Escuela De Abogados De La Libertad,Escuela De Abogados De La Libertad,1,TRUE
Escuela De Arte Digital - Ead,Escuela De Arte Digital - Ead,1,TRUE
Escuela De Auditores Del Peru,Escuela De Auditores Del Peru,1,TRUE
Escuela De Couching Integral Peru,Escuela De Couching Integral Peru,3,TRUE
Escuela De Diseno Grafico Y Comunicacion Publicitaria &Quot;Esantec&Quot;,Escuela De Diseno Grafico Y Comunicacion Publicitaria &Quot;Esantec&Quot;,1,TRUE
Escuela De Edicion De Lima,Escuela De Edicion De Lima,1,TRUE
Escuela De Empresa,Escuela De Empresa,1,TRUE
Escuela De Empresas De Lima,Escuela De Empresas De Lima,1,TRUE
Escuela De Formacion Contable &Amp; Negocios,Escuela De Formacion Contable &Amp; Negocios,1,TRUE
Escuela De Gestion Y Economia Gerens,Escuela De Gestion Y Economia Gerens,4,TRUE
Escuela De Gobierno Y Politicas Publicas De La Pucp,Escuela De Gobierno Y Politicas Publicas De La Pucp,1,TRUE
Escuela De Ingenieria De Senati,Senati,1,FALSE
Escuela De Marketing,Escuela De Marketing,1,TRUE
Escuela De Negocios Eoi,Escuela De Negocios Eoi,5,TRUE
Escuela De Negocios Gesap,Escuela De Negocios Gesap,1,TRUE
Escuela De Negocios Zegel Ipae,Instituto Peruano De Accion Empresarial - Ipae,1,FALSE
Escuela De Periodismo Jaime Bauzate Y Meza,Universidad Jaime Bausate Y Meza,2,FALSE
Escuela De Posgrado Newman,Escuela De Posgrado Newman,2,TRUE
Escuela De Post Grado - Universidad San Ignacio De Loyola,Escuela De Post Grado - Universidad San Ignacio De Loyola,15,TRUE
Escuela De Post Grado - Universidad Tecnologica Del Peru,Escuela De Post Grado - Universidad Tecnologica Del Peru,4,TRUE
Escuela De Post Grado Utp,Escuela De Post Grado - Universidad Tecnologica Del Peru,1,FALSE
Escuela De Post Grado-Upc,Escuela De Post Grado - Universidad Tecnologica Del Peru,1,FALSE
Escuela De Postgrado,Escuela De Postgrado,1,TRUE
Escuela De Postgrado De La Upc,Escuela De Postgrado Upc,1,FALSE
Escuela De Postgrado Upc,Escuela De Postgrado Upc,4,TRUE
Escuela De Postgrado Utp,Escuela De Post Grado - Universidad Tecnologica Del Peru,1,FALSE
Escuela De Recursos Humanos,Escuela De Recursos Humanos - Erh,2,FALSE
Escuela De Recursos Humanos - Erh,Escuela De Recursos Humanos - Erh,1,TRUE
Escuela De Talento Humano,Escuela De Talento Humano,1,TRUE
Escuela Empresarial Del Peru,Escuela Empresarial Del Peru - Esep,6,FALSE
Escuela Empresarial Del Peru - Esep,Escuela Empresarial Del Peru - Esep,1,TRUE
Escuela Internacional De Aduanas Y Logistica,Escuela Internacional De Aduanas Y Logistica,1,TRUE
Escuela Internacional De Gerencia Eiger,Escuela Internacional De Gerencia Eiger,5,TRUE
Escuela Internacional De Gestion De Proyectos,Escuela Internacional De Gestion De Proyectos,1,TRUE
Escuela Internacional En Tecnologia Profesional Geg Corporation.,Escuela Internacional En Tecnologia Profesional Geg Corporation.,1,TRUE
Escuela John Hopkins,Escuela John Hopkins,1,TRUE
Escuela Nacional De Administracion Pubica,Escuela Nacional De Administracion Pubica,2,TRUE
Escuela Nacional De Archiveros,Escuela Nacional De Archiveros,1,TRUE
Escuela Nacional De Control Cgr,Escuela Nacional De Control Cgr,1,TRUE
