lastWorkCompany,equivalence,count,equals
Almacenes Santa Clara S.A.,Almacenes Santa Clara S.A.,2,TRUE
Almara Gelato Art,Almara Gelato Art,1,TRUE
Alpayana,Alpayana S.A,1,FALSE
Alpayana ( Ex Cia Minera Casapalca),Alpayana S.A,1,FALSE
Alpayana S.A,Alpayana S.A,1,TRUE
Als Global Geochemistry,Als Global Geochemistry,1,TRUE
Altacont Group Sac,Altacont Group Sac,1,TRUE
Alteliza,Alteliza,1,TRUE
Alteliza Home,Alteliza,1,FALSE
Alternativa Tecnologica,Alternativa Tecnologica S.A.C.,4,FALSE
Alternativa Tecnologica S.A.C.,Alternativa Tecnologica S.A.C.,1,TRUE
Alternativa Tecnologica Sac,Alternativa Tecnologica S.A.C.,1,FALSE
Alternativas Y Soluciones Sac,Alternativas Y Soluciones Sac,1,TRUE
Altimea,Altimea Communication,2,FALSE
Altimea Communication,Altimea Communication,1,TRUE
Altreda,Altreda,1,TRUE
Aluminios Y Vidrios S.A,Aluminios Y Vidrios S.A,1,TRUE
Alvac Sa,Alvac Sa,2,TRUE
Alvida S.A,Alvida S.A,1,TRUE
Alvisoft Peru S.A.C,Alvisoft Peru S.A.C,1,TRUE
Alwa Ingenieria Sostenible,Alwa Ingenieria Sostenible,1,TRUE
Always On,Always On,1,TRUE
Amaac,Amaac Peru,1,FALSE
Amaac Peru,Amaac Peru,1,TRUE
Amas Digital,Amas Digital,1,TRUE
Amauta,Amauta Impresiones S.A.C,1,FALSE
Amauta Impresiones Comerciales,Amauta Impresiones S.A.C,1,FALSE
Amauta Impresiones S.A.C,Amauta Impresiones S.A.C,1,TRUE
Amcor Rigid Packaging Del Peru S.A.,Amcor Rigid Packaging Del Peru S.A.,2,TRUE
America Brokers,America Brokers,2,TRUE
America Movil,America Movil Peru S.A.C.,3,FALSE
America Movil Peru,America Movil Peru S.A.C.,1,FALSE
America Movil Peru (Claro Peru),America Movil Peru S.A.C.,2,FALSE
America Movil Peru S.A.C,America Movil Peru S.A.C.,1,FALSE
America Movil Peru S.A.C.,America Movil Peru S.A.C.,2,TRUE
America Movil Peru S.A.C. - Claro,America Movil Peru S.A.C.,1,FALSE
America Movil Peru Sac,America Movil Peru S.A.C.,3,FALSE
America Movil S.A.C (Claro Peru),America Movil Peru S.A.C.,1,FALSE
America Movil-Claro,America Movil Peru S.A.C.,1,FALSE
America Solidaria Peru,America Solidaria Peru,1,TRUE
America Television,America Television,1,TRUE
Americantech Peru,Americantech Peru,1,TRUE
Americatel,Americatel Peru S.A.,6,FALSE
Americatel Del Peru,Americatel Peru S.A.,2,FALSE
Americatel Peru S.A.,Americatel Peru S.A.,1,TRUE
Amg Auplata Mining Group,Amg Auplata Mining Group,1,TRUE
Analista,Analista,1,TRUE
Analista Ti,Analista Ti,1,TRUE
Analitica Visual Consulting,Analitica Visual Consulting,1,TRUE
Analytical Laboratory E.I.R.L,Analytical Laboratory E.I.R.L.,1,FALSE
Analytical Laboratory E.I.R.L.,Analytical Laboratory E.I.R.L.,2,TRUE
Anawa Travel Sac,Anawa Travel Sac,1,TRUE
Anc Logistica Integral,Anc Logistica Integral,1,TRUE
Ancora Business,Ancora Business,1,TRUE
Ancro Srl,Ancro Srl,1,TRUE
Anddes,Anddes Asociados S.A.C,1,FALSE
Anddes Asociados S.A.C,Anddes Asociados S.A.C,6,TRUE
Andes Express Sac,Andes Express Sac,1,TRUE
Andimetal S.A.C,Andimetal S.A.C,1,TRUE
Andina De Radiodifusion Atv,Andina De Radiodifusion Atv,2,TRUE
Andina Energy,Andina Energy,1,TRUE
A-Nexo Contact Center S.A.C,A-Nexo Contact Center S.A.C,1,TRUE
Anglo American,Anglo American,1,TRUE
Anida,Anida,1,TRUE
Anixter Jorvex S.A.C.,Anixter Jorvex S.A.C.,1,TRUE
Anka Networks,Anka Networks,1,TRUE
Annexbox,Annexbox,2,TRUE
Anovo Peru S.A.C,Anovo Peru S.A.C,1,TRUE
Anovo Peru Sac.,Anovo Peru S.A.C,1,FALSE
Anovo S.A.C,Anovo Peru S.A.C,1,FALSE
Antenas Cable Vision Satelite S.A,Antenas Cable Vision Satelite S.A,1,TRUE
Antonella Pizzas Y Pastas,Antonella Pizzas Y Pastas,1,TRUE
Anwe Corporacion Internacional,Anwe Corporacion Internacional,2,TRUE
Apeseg,Apeseg,1,TRUE
Aplex Corp Sac,Aplex Corp Sac,1,TRUE
Apm Terminal Inland Services,Apm Terminal Inland Services,1,TRUE
Apm Terminals,Apm Terminal Inland Services,1,FALSE
Apolomultimedia S.A.C,Apolomultimedia S.A.C,1,TRUE
App Agropuyu,App Agropuyu,1,TRUE
Applehouse,Applehouse,1,TRUE
Applus Norcontrol,Applus Norcontrol Peru Sac,1,FALSE
Applus Norcontrol Peru Sac,Applus Norcontrol Peru Sac,1,TRUE
Appsitec Sac,Appsitec Sac,2,TRUE
Apuesta Total,Apuesta Total,1,TRUE
Apukay,Apukay,1,TRUE
Apumayo Sac,Apumayo Sac,1,TRUE
Aqh Consulting,Aqh Consulting,2,TRUE
Aqllasqa Cafe,Aqllasqa Cafe,1,TRUE
Aqualandia Peru,Aqualandia Peru,1,TRUE
Aquamed,Aquamed,1,TRUE
Aquarius Consulting Sac,Aquarius Consulting Sac,1,TRUE
Aramburu Matriz S.A.C.,Aramburu Matriz S.A.C.,1,TRUE
Arca Continental Lindley,Arca Continental Lindley,2,TRUE
Arcadis Peru,Arcadis Peru,1,TRUE
Archivo Regional De Puno,Archivo Regional De Puno,1,TRUE
Arcos Dorados,Arcos Dorados S.A.,1,FALSE
Arcos Dorados S.A.,Arcos Dorados S.A.,1,TRUE
Arcotek,Arcotek,1,TRUE
Arcux S.A.C,Arcux S.A.C,1,TRUE
Ardiles Import,Ardiles Import,1,TRUE
Arellano,Arellano Marketing,1,FALSE
Arellano Marketing,Arellano Marketing,1,TRUE
Aresm2M,Aresm2M,1,TRUE
Argenper,Argenper,2,TRUE
Argops Consulting Sac,Argops Consulting Sac,1,TRUE
Ari Consulting,Ari Consulting,1,TRUE
Ariadna,Ariadna,1,TRUE
Ariana Operaciones Mineras Sac,Ariana Operaciones Mineras Sac,1,TRUE
Arkano Software,Arkano Software,2,TRUE
Armas Doomo S.A.,Armas Doomo S.A.,1,TRUE
Arqsoft Consultores,Arqsoft Consultores Sac,1,FALSE
Arqsoft Consultores Sac,Arqsoft Consultores Sac,1,TRUE
Arqsoft Sac,Arqsoft Consultores Sac,1,FALSE
Arriola Vera Contratistas Generales S.A.C.,Arriola Vera Contratistas Generales S.A.C.,1,TRUE
Artanis,Artanis,1,TRUE
Artek Proyectos,Artek Proyectos,1,TRUE
Artesco S.A / Staedtler,Artesco S.A / Staedtler,1,TRUE
Artesco S.A.,Artesco S.A / Staedtler,1,FALSE
Articulos Deportivos Jesus Rechi Sac,Articulos Deportivos Jesus Rechi Sac,1,TRUE
Artsign Soluciones,Artsign Soluciones,1,TRUE
Asbanc - Asociacion De Bancos Del Peru,Asbanc - Asociacion De Bancos Del Peru,1,TRUE
Asc Outsourcing Sac,Asc Outsourcing Sac,1,TRUE
Ascensores Gs&Amp;F,Ascensores Gsf,1,FALSE
Ascensores Gsf,Ascensores Gsf,1,TRUE
Ascensores Gsf S.A.C - Kone,Ascensores Gsf,3,FALSE
Ascensores Schindler Del Peru S.A.,Ascensores Schindler Del Peru S.A.,1,TRUE
Aselera.S.A.C,Aselera.S.A.C,6,TRUE
