nombreUltimoEstudio,equivalencia,cantidad,igual
Administracion Y Negocios Inter,Administracion Y Negocios Internacionales,4,FALSE
Administracion Y Negocios Internacionales,Administracion Y Negocios Internacionales,54,TRUE
Administracion Y Negocios Internaciones,Administracion Y Negocios Internacionales,2,FALSE
Administracion Y Recursos Humanos,Administracion Y Recursos Humanos,21,TRUE
Administracion Y Rrhh.,Administracion Y Rrhh.,1,TRUE
Administracion Y Sistemas,Administracion Y Sistemas,17,TRUE
Administracion/Marketing,Administracion/Marketing,1,TRUE
Administrador,Administrador,5,TRUE
Administrador Aws,Administrador Aws,1,TRUE
Administrador Bancario,Administrador Bancario,2,TRUE
Administrador De Base De Datos,Administrador De Base De Datos,27,TRUE
Administrador De Bd - Oracle,Administrador De Base De Datos,1,FALSE
Administrador De Empresas,Administracion De Empresas,16,FALSE
Administrador De Negocios,Administrador De Negocios,2,TRUE
Administrador De Negocios Internacionales,Administrador De Negocios Internacionales,1,TRUE
Administrador De Oracle,Administrador De Oracle,1,TRUE
Administrador De Redes Y Seguridad Informatic,Administrador De Redes Y Seguridad Informatic,1,TRUE
Administrador De Servidores Windows Y Linux,Administrador De Servidores Windows Y Linux,1,TRUE
Administrador De Servidores Windows.,Administrador De Servidores Windows.,1,TRUE
Administrador Industrial,Administrador Industrial,1,TRUE
Administrador Sap,Administrador Sap,1,TRUE
Administradora,Administradora,2,TRUE
Administradora De Empresas,Administracion De Empresas,1,FALSE
Administradora De Empresas Y Gestion,Administracion De Empresas,1,FALSE
Adminitracion De Empresa,Administracion De Empresas,1,FALSE
Adminitracion De Empresas,Administracion De Empresas,1,FALSE
Adminitracion De Negocios Internacionales.,Adminitracion De Negocios Internacionales.,1,TRUE
Adminstracion De Empresas,Administracion De Empresas,1,FALSE
Adminstracion Y Negocios Internacionales,Adminstracion Y Negocios Internacionales,1,TRUE
Admnistracion,Admnistracion,1,TRUE
Adobe Ilustrator Y Photoshop,Adobe Ilustrator Y Photoshop,1,TRUE
Adulto Consciente,Adulto Consciente,1,TRUE
Advance Solutions Of Microsot Power Point Ser,Advance Solutions Of Microsot Power Point Ser,5,TRUE
Advanced English,Advanced English,2,TRUE
Advanced Phase Certificate,Advanced Phase Certificate,1,TRUE
Advanced Technologies For Executives,Advanced Technologies For Executives,2,TRUE
After Effects Y Post Produccion,After Effects Y Post Produccion,1,TRUE
Agente Inmobiliario,Agente Inmobiliario,1,TRUE
Agile Business Y Big Data,Agile Business Y Big Data,1,TRUE
Agile Development Specialization Program,Agile Development Specialization Program,1,TRUE
Agile Marketing(Scrum),Agile Marketing(Scrum),1,TRUE
Agile Mba,Agile Mba,1,TRUE
Agile Scrum Master,Agile Scrum Master,1,TRUE
"Agile Scrum Master, Smc(Tm), Sdc(Tm), Sfc(Tm)","Agile Scrum Master, Smc(Tm), Sdc(Tm), Sfc(Tm)",2,TRUE
Agile Work Teams,Agile Work Teams,1,TRUE
Agroexportaciones,Agroexportaciones,3,TRUE
Almacenes E Inventarios,Almacenes E Inventarios,1,TRUE
Alta Direccion Empresarial - Mba,Alta Direccion Empresarial - Mba,1,TRUE
Alta Epecializacion En Transformacion Digital,Alta Epecializacion En Transformacion Digital,1,TRUE
Alumno De Intercambio,Alumno De Intercambio,2,TRUE
Amazon Web Services (Aws),Amazon Web Services (Aws),1,TRUE
Amazon Ws,Amazon Ws,1,TRUE
Aministracion Y Marketing,Aministracion Y Marketing,1,TRUE
Analisis De Datos,Analisis De Datos,1,TRUE
Analisis De Datos En Power Bi,Analisis De Datos,2,FALSE
"Analisis De Datos,Mejora De Procesos Y Td",Analisis De Datos,1,FALSE
Analisis De Informacion Con Power Bi Para Excel,Analisis De Informacion Con Power Bi Para Excel,2,TRUE
Analisis De Informacion Con Tableu,Analisis De Informacion Con Tableu,1,TRUE
Analisis De Negocios - Cbap,Analisis De Negocios - Cbap,4,TRUE
Analisis De Sistemas,Analisis De Sistemas,2,TRUE
Analisis De Sistemas Y Adm. De Base Datos Sql,Analisis De Sistemas Y Adm. De Base Datos Sql,1,TRUE
Analisis Y Desarrollo De Sistemas,Analisis Y Desarrollo De Sistemas,1,TRUE
Analisis Y Diseno De Sistemas,Analisis Y Diseno De Sistemas,1,TRUE
Analisis Y Diseno De Sistemas Isil,Analisis Y Diseno De Sistemas Isil,4,TRUE
Analisis Y Programacion En Java,Analisis Y Programacion En Java,1,TRUE
Analista,Analista,2,TRUE
Analista Computacion Ademinstrativa,Analista Computacion Ademinstrativa,1,TRUE
Analista De Comercio Exterior,Analista De Comercio Exterior,1,TRUE
Analista De Creditos.,Analista De Creditos.,1,TRUE
