lastWorkCenter,relatedToSoftwareDev,count
Ministerio De Transporte Y Comunicaciones,,2
Ministerio De Transporte Y Telecomunicaciones,,2
Mision Tecnologica Canal Hp,,2
Mitsui,,2
Mlv Contadores Sac,,2
Mm Alisam,,2
Mobiik,,2
Monomedia,,2
Montana S.A,,2
Motored,,2
Movilbus Sac,,2
Movilnet,,2
Ms4M,,2
Municipalidad De Punta Hermosa,,2
Municipalidad De San Sebastian,,2
Municipalidad Distrital De Huanchaco,,2
Municipalidad Metropolitana De Lima,,2
Nanotech Solutions,,2
Negocio Propio,,2
Neoris,Si,2
Niisa Corp. S.A.,,2
Nueva Moda Textil Sac,,2
Oficina De Normalizacion Previsional,,2
Onpe - Oficina Nacional De Procesos Electorales,,2
Ops Tecnologia Y Comunicaciones S.A.C.,,2
Orden Hospitalaria De San Juan De Dios,,2
Osce,,2
Overall Strategy,,2
Pandero,,2
Papelera Nacional,,2
Paradigma Sac.,,2
Peru Offset Digital,,2
Peruvian Net,,2
Petramas Sac,,2
Poder Judicial,No,2
Poder Judicial Del Peru,,2
Practia Consulting S.A.C,,2
Practia Global,,2
Prayaga,,2
Precor S.A.,,2
Premium Cultural Institute,,2
Prestaclub,,2
Primus Capital Peru Sac,,2
Procampo S.A,,2
Procesos De Medios De Pago S.A. - Izipay,,2
Procesos Medios De Pagos(Mastercard),,2
Productos Avon,,2
Productos Paraiso Del Peru,,2
Promotora Los Olivos,,2
Promotora Opcion Safc,,2
Propia,,2
Protecta Security,,2
Prozess Group,,2
Pss S.A.C.,,2
Qroma,,2
Qualys Sac.,,2
Quimicos Goicochea S.A.C.,,2
Quisytech,,2
R2 Sac,,2
Reckitt Benckiser(Mead Johnson),,2
Red De Clinicas San Pablo,,2
Redes,,2
Reingenia,,2
Replica Brindando Soluciones,,2
Representaciones Servito Sac,,2
Repsol,,2
Ricoh,,2
Ripley S.A,,2
Roditex S.A.C.,,2
Rpa Latam,,2
Rutta Sac,,2
Safetypay,,2
Saga Falabella,,2
Saint Gobain,,2
San Jose Rent A Car,,2
Santander Consumer,,2
Sapia Sa,,2
Satelital Telecomunicaciones Sac,,2
Scotiabank Peru,,2
Seek,,2
Sencico,,2
Seratic Sac - Partner Telefonica,,2
Serpost,,2
Servicio Nacional De Sanidad Agraria,,2
Servicios Informaticos Falabella S.A,,2
Ses Software Enterprise Services,,2
Setours S.A,,2
Sgs Del Peru,,2
Siderperu,,2
Sistema De Administracion Tributaria-Tarapoto,,2
Sistematico,,2
Sk Shared Services,,2
Smart Meals (R),,2
Smartfit Peru,,2
Sodexo,,2
Sodimac,No,2
Sonda Del Peru,,2
Sonepar Peru Sa,,2
Souther Textile Network,,2
Southern Peru,,2
Southern Peru Copper Corporation,,2
Stefanini Peru,Si,2
Sum Vehiculos S.A,,2
Sumweb Solutions S.A.C,,2
"Superintendencia De Banca, Seguros Y Afp",,2
Symmetry Corporation Sac,,2
Systems Support &Amp; Services S.A,,2
Talent Y Soft,,2
Taller De Confecciones San Luis,,2
Talma Servicios Aeroportuarios S.A,,2
Tasa,,2
Tawa,,2
Tawa Consulting,,2
Tec4Biz,,2
Tecnocom,,2
Tecnologica De Alimentos S.A.,,2
Tecsur S.A,,2
Teleperformance,Si,2
Telsen Ingenieros Srl,,2
Termodinamica S.A,,2
Textiles Camones S.A.,,2
The Factory Hka Peru,,2
The Vanguard International Group,,2
T-Id Solutions,,2
Toulouse Lautrec,,2
Trabajos Particulares Proyectos,,2
Transcorp Industrial Sac,,2
Ts Net,,2
Tsc,,2
Uap,,2
Ugel 08 Canete,,2
Unibell Sac,,2
Unidad De Gestion Educativa Local Talara,,2
Unimar Sa,,2
Unisys Del Peru,,2
Universidad Alas Peruanas Sa,,2
Universidad Catolica Santo Toribio De Mogrovejo,,2
Universidad Cayetano Heredia,,2
Universidad De Ciencias Y Humanidades,,2
Universidad De Ingenieria Y Tecnologia,,2
Universidad De Piura,No,2
Universidad De San Martin De Porres,,2
Universidad Nacional Autonoma De Chota,,2
Universidad Nacional De Ingenieria,,2
Universidad Nacional Mayor De San Marcos,,2
Universidad Peruana De Ciencias Aplicadas - Upc,,2
Universidad Privada San Juan Bautista,,2
Universidad Ricardo Palma,,2
Universidad San Martin De Porres - Uva,,2
University Of Oulu,,2
V&Amp;J Import,,2
Valtx,,2
Valtx / Tgestiona,,2
Vass Consultoria De Sistemas De L Peru,,2
Verander,,2
Viettel Peru Sac - Bitel,,2
Von Alem S.A.C.,,2
Vsi Industrial,,2
Waba Corporation Eirl,,2
Wacaymar,,2
Webhelp,,2
Western Union,,2
Wilcom Peru Sociedad Anonima Cerrada,,2
Wim Peru,,2
World Textile Sourcing,,2
World Vision Peru,,2
Xviii Juegos Panamericanos,,2
Yanbal International,,2
Yarnold Consultores Legales,,2
Yasmin Products,,2
Zat,,2
(Huawei),,1
* Grupo Onda Digital S.A.C,,1
1. Crac Raiz S.A.A.,,1
1. Panacea Consultores S.A.,,1
10103462946,,1
10X Ventures,,1
14 Grados Sur,,1
2.1. Ministerio Del Trabajo,,1
386 Systems / Hp Financial Services Peru,,1
4.0 Tecnologia En Innovacion,,1
4Bitech,,1
4X Coffee Sac,,1
A &Amp; T Pumps Technology Peru S.A.C,,1
A Bite Of Cusco,,1
Ab Technology Sac,,1
Abbot Laboratorios S.A.,,1
Abc Consultores,,1
Abc Movil Peru,,1
Abexacloud,,1
Abscisa Analytics,,1
Ac Proyetos,,1
Accede Justicia,,1
Acces Chic,,1
Acceso Crediticio S.A,,1
Acceso Crediticio Sa,,1
Accuaproduct Sac,,1
Aceros Faem &Amp; Ingenieros Sac,,1
Acis Process,,1
Activiza,,1
Activos Mineros,,1
Acurio Restaurantes,,1
Ad Y L Consuling,,1
Adaia Corporation Sac,,1
Adecco Consulting,,1
Adecco Consulting S.A.,,1
Adecco Peru Sac-Proyecto Metro 2 Lima,,1
Adesy.Net,,1
Adexus,,1
Adexus Peru Sa,,1
Adhoc Digital,,1
Admivent Assist Peru,,1
"Admosfera, Agencia De Marketing Sensorial S.A.C",,1
Adn Telecom Sac,,1
Adobe Stock,,1
Aenor,,1
Aero Transporte S.A.,,1
Aerolineas Star Peru,,1
Aeropuertos Del Peru S.A,,1
Afe Service Sac,,1
Ag. Construccion E Ingenierias,,1
Agencia Lima Digital,,1
Agia Tech,,1
Agm Ingenieros S.R.L.,,1
Agn Ingenieros,,1
Agp Group,,1
Agricola Las Llamozas Grupo Fe,,1
Agro Ism Sac (Grupo Ananos),,1
Agroindustrial Paramonga S.A.A.,,1
Agroindutrias Aib,,1
Agronegocios Arq,,1
Agrovet Market,,1
Agrovision,,1
Agua Niagara,,1
Ai Generation Xu,,1
Ai Inversiones Palo Alto Ii S.A.C.,,1
Ai Inversiones Palo Alto Ii S.A.C. (Canvia),,1
Ai Inversiones Palo Alto Ii Sac (Canvia),,1
Aiesec,,1
Aiesec Peru,,1
Aimtalent,,1
Airongroup S.A.C (Telefonica Del Peru),,1
Ajemaya Sa - Ajegroup,,1
Ajeper,,1
Ajeper S.A,,1
Ak Drilling International S.A,,1
Albatross,,1
Alestec,,1
Alfatec,,1
Alfin Banco,,1
Alicorp S.A,,1
Alicorp S.A.A,,1
Alicorp S.A.A.,,1
Alignet,,1
Alimencorp Sac,,1
