lastWorkCenter,equivalence,count,equals
Arcotek,Arcotek,1,TRUE
Ardiles Import,Ardiles Import,1,TRUE
Arellano,Arellano,1,TRUE
Aresm2M,Aresm2M,1,TRUE
Argops Consulting Sac,Argops Consulting Sac,1,TRUE
Ariadna,Ariadna,1,TRUE
Ariana Operaciones Mineras Sac,Ariana Operaciones Mineras Sac,1,TRUE
Arqsoft Consultores,Arqsoft Consultores Sac,1,FALSE
Arqsoft Consultores Sac,Arqsoft Consultores Sac,1,TRUE
Arqsoft Sac,Arqsoft Consultores Sac,1,FALSE
Artanis,Artanis,1,TRUE
Artek Proyectos,Artek Proyectos,1,TRUE
Artesco S.A / Staedtler,Artesco S.A / Staedtler,1,TRUE
Artesco S.A.,Artesco S.A / Staedtler,1,FALSE
Articulos Deportivos Jesus Rechi Sac,Articulos Deportivos Jesus Rechi Sac,1,TRUE
Ascensores Gsf,Ascensores Gsf,1,TRUE
Ascensores Gsf S.A.C - Kone,Ascensores Gsf,3,FALSE
Ascensores Schindler Del Peru S.A.,Ascensores Schindler Del Peru S.A.,1,TRUE
Aselera.S.A.C,Aselera.S.A.C,6,TRUE
Asesor Inmobiliario Independiente,Asesor Inmobiliario Independiente,1,TRUE
Asesores -E,Asesoresb24,3,FALSE
Asesoresb24,Asesoresb24,1,TRUE
Asesores-E,Asesoresb24,3,FALSE
Asociacion Civil Con Proposito - Mab,Asociacion Civil Con Proposito - Mab,2,TRUE
Asociacion De Empleados Del Bcp,Asociacion De Empleados Del Bcp,1,TRUE
Asociacion De Oficiales Pip,Asociacion De Oficiales Pip,1,TRUE
Asociacion Por Los Derechos Del Nino Con Cancer,Asociacion Por Los Derechos Del Nino Con Cancer,1,TRUE
Asociacion Saco Oliveros,Asociacion Saco Oliveros,1,TRUE
Asosiacion Peruana De Empresas De Seguros,Asosiacion Peruana De Empresas De Seguros,1,TRUE
Asper Coating Del Peru S.A.C.,Asper Coating Del Peru S.A.C.,1,TRUE
Assist Card Peru,Assist Card Peru,1,TRUE
Assistcard Peru,Assist Card Peru,1,FALSE
Assurant,Assurant,1,TRUE
Astara Peru,Astara Peru,1,TRUE
Asvnets,Asvnets,1,TRUE
Atento,Atento Peru,9,FALSE
Atento Peru,Atento Peru,1,TRUE
Atento Peru - Callcenter De La Clinica Delgado,Atento Peru,1,FALSE
Ativa,Ativa,1,TRUE
Atlantic City,Atlantic City,1,TRUE
Atomikal,Atomikal,9,TRUE
Atos Peru,Atos Peru,1,TRUE
Atria Energia,Atria Energia,1,TRUE
Atttach Media,Atttach Media,1,TRUE
Audire Inversiones Eirl - Interactivo,Audire Inversiones Eirl - Interactivo,2,TRUE
Auna,Auna - Grupo Salud Del Peru,10,FALSE
Auna - Grupo Salud Del Peru,Auna - Grupo Salud Del Peru,1,TRUE
Auna ( Gsp Servicios Generales Sac ),Auna ( Gsp Servicios Generales Sac ),1,TRUE
Aurus Ti,Aurus Ti,5,TRUE
Ausa,Ausa Soluciones Logisticas,2,FALSE
Ausa Soluciones Logisticas,Ausa Soluciones Logisticas,1,TRUE
Ausenco,Ausenco,1,TRUE
Autofacil Spa S.A.C,Autofacil Spa S.A.C,1,TRUE
Automotores Gildemeister Del Peru,Automotores Gildemeister Del Peru,1,TRUE
Automotriz Andina S.A.,Automotriz Andina S.A.,1,TRUE
Automotriz San Blas S.A,Automotriz San Blas S.A,1,TRUE
Autonomo,Autonomo,4,TRUE
Autoridad De Transporte Urbano Para Lima Y Callao,Autoridad De Transporte Urbano Para Lima Y Callao,1,TRUE
Autoridad Nacional Del Agua,Autoridad Nacional Del Agua,18,TRUE
Autoridad Para La Reconstruccion Con Cambios,Autoridad Para La Reconstruccion Con Cambios,2,TRUE
Autrisa-Incamotors-Novaautos,Autrisa-Incamotors-Novaautos,1,TRUE
Aval,Aval,2,TRUE
Avalon Soluciones,Avalon Soluciones,1,TRUE
Avalora America S.A.C,Avalora America S.A.C,1,TRUE
Avance Legal,Avance Legal S.A.C.,1,FALSE
Avance Legal S.A.C.,Avance Legal S.A.C.,2,TRUE
Avances Tecnologicos,Avances Tecnologicos,2,TRUE
Avantica,Avantica Technologies,1,FALSE
Avantica Technologies,Avantica Technologies,4,TRUE
Avatar Global,Avatar Global,1,TRUE
Avatar Sac,Avatar Global,1,FALSE
Avla S.A.,Avla S.A.,1,TRUE
Avss Flight Center,Avss Flight Center,1,TRUE
Aws Amazon Web Service Dealer Morris &Amp; Opazzo,Aws Amazon Web Service Dealer Morris &Amp; Opazzo,3,TRUE
Axis Gl,Axis Gl,1,TRUE
Axon Group Ltda Sucursal Peru,Axon Group Ltda Sucursal Peru,1,TRUE
Aya Edificaciones Sac,Aya Edificaciones Sac,2,TRUE
Ayd Asociados,Ayd Asociados,2,TRUE
Ayesa,Ayesa S.A.C.,2,FALSE
Ayesa Peru,Ayesa S.A.C.,6,FALSE
Ayesa S.A.C.,Ayesa S.A.C.,2,TRUE
Ayni Educativo,Ayni Educativo,2,TRUE
Aynitech,Aynitech S.A.,1,FALSE
Aynitech S.A.,Aynitech S.A.,1,TRUE
Ayor S.A.C - Proyecto Um El Brocal - Buenaventura,Ayor S.A.C - Proyecto Um El Brocal - Buenaventura,1,TRUE
Ayuda En Accion,Ayuda En Accion,1,TRUE
Azteca Comunicaciones Peru,Azteca Comunicaciones Peru S.A.C,1,FALSE
Azteca Comunicaciones Peru S.A.C,Azteca Comunicaciones Peru S.A.C,3,TRUE
B Y V Iesemin Sac,B Y V Iesemin Sac,1,TRUE
B&Amp;B Ingenieria Y Proyectos Sac,B&Amp;B Ingenieria Y Proyectos Sac,1,TRUE
B. Braun Medical Peru S.A.,B. Braun Medical Peru S.A.,1,TRUE
Bac Credomatic,Bac Credomatic,1,TRUE
Background Consultores,Background Consultores S.A.C,1,FALSE
Background Consultores S.A.C,Background Consultores S.A.C,1,TRUE
Background It,Background Consultores S.A.C,2,FALSE
Background Sac (Cliente Bcp),Background Consultores S.A.C,1,FALSE
Backus,Backus Sac,1,FALSE
Backus Sac,Backus Sac,6,TRUE
Bafing,Bafing Sac,1,FALSE
Bafing Sac,Bafing Sac,1,TRUE
Bags Store Sac,Bags Store Sac,1,TRUE
Baires Sac,Baires Sac,2,TRUE
Bairesa Sac,Baires Sac,1,FALSE
Bakar Peru S.A.C,Bakar Peru S.A.C,1,TRUE
Bakels Peru,Bakels Peru,1,TRUE
Banbif,Banco Interamericano De Finanzas (Banbif),6,FALSE
Banco Azteca,Banco Azteca Del Peru S.A,2,FALSE
Banco Azteca Del Peru S.A,Banco Azteca Del Peru S.A,2,TRUE
Banco Bbva Peru,Banco Bbva Peru,1,TRUE
Banco Cencosud,Banco Cencosud,2,TRUE
Banco Central De Peru - Bcp,Banco De Credito Del Peru - Bcp,1,FALSE
Banco Central De Reserva,Banco Central De Reserva,1,TRUE
Banco Comercia,Banco Comercia,1,TRUE
Banco Credito Del Peru,Banco De Credito Del Peru - Bcp,1,FALSE
Banco De Comercio,Banco De Comercio,1,TRUE
Banco De Credito,Banco De Credito Del Peru - Bcp,3,FALSE
Banco De Credito Del Peru,Banco De Credito Del Peru - Bcp,18,FALSE
Banco De Credito Del Peru - Bcp,Banco De Credito Del Peru - Bcp,1,TRUE
Banco De La Nacion,Banco De La Nacion,3,TRUE
Banco Del Credito Del Peru,Banco De Credito Del Peru - Bcp,2,FALSE
Banco Falabella,Banco Falabella,13,TRUE
Banco Falabella Peru,Banco Falabella,3,FALSE
Banco Falabella Peru S.A.,Banco Falabella,1,FALSE
